id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
322,LU_Battery,2030,4,13,16,-0.046000000000000006,0.0,0.0
323,LU_Battery,2030,4,17,20,-0.046,-0.36110000000000003,0.0
324,LU_Battery,2030,4,21,24,-0.4071,0.0,0.0
325,LU_Battery,2030,5,1,4,-0.104,0.0,0.0
326,LU_Battery,2030,5,5,8,-0.10400000000000001,0.0,0.0
327,LU_Battery,2030,5,9,12,-0.10400000000000001,0.0,0.0
328,LU_Battery,2030,5,13,16,-0.10400000000000001,0.0,0.0
329,LU_Battery,2030,5,17,20,-0.104,0.0,0.0
330,LU_Battery,2030,5,21,24,-0.104,0.0,0.0
331,LU_Battery,2030,6,1,4,-0.3186,0.0,0.0
332,LU_Battery,2030,6,5,8,-0.3186,0.0,0.0
333,LU_Battery,2030,6,9,12,-0.3186,0.0,0.0
334,LU_Battery,2030,6,13,16,-0.3186,0.0,0.0
335,LU_Battery,2030,6,17,20,-0.3186,0.0,0.0
336,LU_Battery,2030,6,21,24,-0.3186,0.0,0.0
337,LU_Battery,2030,7,1,4,-0.6549,-0.8491500000000001,0.0
338,LU_Battery,2030,7,5,8,-1.50405,-1.1488499999999993,0.0
339,LU_Battery,2030,7,9,12,-2.6528999999999994,0.0,0.0
340,LU_Battery,2030,7,13,16,-0.6549,-3.6690328528331695,0.0
341,LU_Battery,2030,7,17,20,-4.3239328528331695,0.0,0.0
342,LU_Battery,2030,7,21,24,-0.6549,0.0,0.0
343,LU_Battery,2030,8,1,4,-0.062,0.0,0.0
344,LU_Battery,2030,8,5,8,-0.062,0.0,0.0
345,LU_Battery,2030,8,9,12,-0.062,0.0,0.0
346,LU_Battery,2030,8,13,16,-0.062,0.0,0.0
347,LU_Battery,2030,8,17,20,-0.062,0.0,0.0
348,LU_Battery,2030,8,21,24,-0.062,0.0,0.0
349,LU_Battery,2030,9,1,4,-0.08600000000000001,0.0,0.0
350,LU_Battery,2030,9,5,8,-0.086,0.0,0.0
351,LU_Battery,2030,9,9,12,-0.086,0.0,0.0
352,LU_Battery,2030,9,13,16,-0.08600000000000001,-0.6751,0.0
353,LU_Battery,2030,9,17,20,-0.7611,0.0,0.0
354,LU_Battery,2030,9,21,24,-0.7611,0.0,0.0
355,LU_Battery,2030,10,1,4,-0.8142,-1.0557,0.0
356,LU_Battery,2030,10,5,8,-1.8699000000000001,-0.9382414264165841,0.0
357,LU_Battery,2030,10,9,12,-2.8081414264165843,0.0,0.0
358,LU_Battery,2030,10,13,16,-1.8010499999999983,-2.687041426416584,0.0
359,LU_Battery,2030,10,17,20,-4.488091426416582,0.0,0.0
360,LU_Battery,2030,10,21,24,-0.8142,0.0,0.0
361,NL_Battery,2030,1,1,4,-0.9381,-1.2879,0.0
362,NL_Battery,2030,1,5,8,-2.226,0.0,0.0
363,NL_Battery,2030,1,9,12,-1.7489999999999999,0.0,0.0
364,NL_Battery,2030,1,13,16,-0.9380999999999999,0.0,0.0
365,NL_Battery,2030,1,17,20,-0.9381000000000002,1.1102230246251565e-16,0.0
366,NL_Battery,2030,1,21,24,-0.9381,0.0,0.0
367,NL_Battery,2030,2,1,4,-0.066,-0.5181,0.0
368,NL_Battery,2030,2,5,8,-0.5841000000000001,1.1102230246251565e-16,0.0
369,NL_Battery,2030,2,9,12,-0.5841,0.0,0.0
370,NL_Battery,2030,2,13,16,-0.5841,-0.25905,0.0
371,NL_Battery,2030,2,17,20,-0.84315,0.0,0.0
372,NL_Battery,2030,2,21,24,-0.066,0.0,0.0
373,NL_Battery,2030,3,1,4,-0.058,0.0,0.0
374,NL_Battery,2030,3,5,8,-0.05800000000000001,0.0,0.0
375,NL_Battery,2030,3,9,12,-0.058,0.0,0.0
376,NL_Battery,2030,3,13,16,-0.058,0.0,0.0
377,NL_Battery,2030,3,17,20,-0.05800000000000001,0.0,0.0
378,NL_Battery,2030,3,21,24,-0.058,0.0,0.0
379,NL_Battery,2030,4,1,4,-0.046000000000000006,6.938893903907228e-18,0.0
380,NL_Battery,2030,4,5,8,-0.046,-0.36110000000000003,0.0
381,NL_Battery,2030,4,9,12,-0.4071,0.0,0.0
382,NL_Battery,2030,4,13,16,-0.4071,0.0,0.0
383,NL_Battery,2030,4,17,20,-0.22655000000000003,0.0,0.0
384,NL_Battery,2030,4,21,24,-0.046,0.0,0.0
385,NL_Battery,2030,5,1,4,-0.104,0.0,0.0
386,NL_Battery,2030,5,5,8,-0.104,0.0,0.0
387,NL_Battery,2030,5,9,12,-0.104,0.0,0.0
388,NL_Battery,2030,5,13,16,-0.104,0.0,0.0
389,NL_Battery,2030,5,17,20,-0.10400000000000001,0.0,0.0
390,NL_Battery,2030,5,21,24,-0.104,0.0,0.0
391,NL_Battery,2030,6,1,4,-0.3186,0.0,0.0
392,NL_Battery,2030,6,5,8,-0.3186,0.0,0.0
393,NL_Battery,2030,6,9,12,-0.3186,0.0,0.0
394,NL_Battery,2030,6,13,16,-0.3186,0.0,0.0
395,NL_Battery,2030,6,17,20,-0.3186,0.0,0.0
396,NL_Battery,2030,6,21,24,-0.3186,0.0,0.0
397,NL_Battery,2030,7,1,4,-0.6549,-0.13320000000000065,0.0
398,NL_Battery,2030,7,5,8,-0.7881000000000007,-1.8647999999999987,0.0
399,NL_Battery,2030,7,9,12,-2.6528999999999994,0.0,0.0
400,NL_Battery,2030,7,13,16,-1.221,-3.1029328528331694,0.0
